id,еца╓_100
5104,3
5096,3
21385,3
21386,3
5103,3
5095,3
21537,3
21538,3
21690,3
21691,3
21667,3
21668,3
21842,3
21843,3
5282,3
5283,3
21819,3
21820,3
21794,3
21795,3
5434,3
5435,3
21945,3
21946,3
21947,3
21936,3
21935,3
5555,3
5556,3
22097,3
22098,3
22099,3
22088,3
22087,3
22131,3
22132,3
22133,3
5707,3
5708,3
22241,3
22242,3
22393,3
22394,3
22297,3
22298,3
22283,3
22284,3
22285,3
22449,3
22450,3
10269,3
26681,3
10270,3
26833,3
26834,3
10435,3
10436,3
10392,3
10393,3
10386,3
10387,3
10372,3
10373,3
10587,3
10588,3
10605,3
10606,3
10544,3
10545,3
10541,3
10542,3
10693,3
10694,3
10872,3
10871,3
10757,3
10758,3
10889,3
10890,3
11024,3
11023,3
11041,3
11042,3
11193,3
11194,3
11345,3
11346,3
11330,3
11331,3
11482,3
11483,3
11478,3
11479,3
11466,3
11467,3
11630,3
11631,3
11618,3
11619,3
11656,3
11657,3
11832,3
11833,3
11808,3
11809,3
11984,3
11985,3
11933,3
11934,3
11965,3
11966,3
12117,3
12118,3
12085,3
12086,3
12249,3
12250,3
8314,3
8315,3
8319,3
8306,3
24576,3
8320,3
8322,3
8323,3
8472,3
8474,3
8475,3
24889,3
24890,3
8466,3
8467,3
8468,3
8469,3
8471,3
24872,3
24871,3
25041,3
25042,3
25024,3
8648,3
8649,3
25023,3
8624,3
8620,3
8621,3
8800,3
8801,3
8761,3
8766,3
8767,3
8920,3
8913,3
8914,3
8918,3
25318,3
25319,3
8946,3
8947,3
25470,3
25471,3
9072,3
9073,3
9076,3
9077,3
9065,3
9066,3
9105,3
9106,3
9098,3
25618,3
9240,3
9241,3
9228,3
9229,3
9217,3
9218,3
9257,3
9258,3
9368,3
9369,3
9370,3
25770,3
25771,3
9392,3
9393,3
9390,3
9391,3
9541,3
9542,3
9543,3
9502,3
9503,3
9520,3
9521,3
9526,3
9527,3
9693,3
9694,3
9677,3
9678,3
9679,3
9698,3
9699,3
9657,3
9654,3
9655,3
9809,3
9810,3
9850,3
9851,3
9829,3
9830,3
9831,3
10234,3
10235,3
10220,3
10117,3
10118,3
14408,3
14409,3
14413,3
14414,3
14361,3
14362,3
14363,3
14364,3
14365,3
14366,3
14367,3
14358,3
14359,3
14388,3
14389,3
14559,3
14540,3
14541,3
14560,3
14561,3
14513,3
14514,3
14515,3
14516,3
14517,3
14518,3
14519,3
14510,3
14511,3
14664,3
14665,3
14666,3
14667,3
14668,3
14663,3
14712,3
14713,3
14711,3
14813,3
14814,3
14815,3
14816,3
14819,3
14820,3
14822,3
14823,3
14969,3
14970,3
14971,3
14974,3
14975,3
14965,3
14966,3
15121,3
15122,3
15123,3
15124,3
15273,3
15274,3
15275,3
15276,3
15425,3
15426,3
15430,3
15576,3
15581,3
15582,3
15575,3
15728,3
15721,3
15722,3
15726,3
15727,3
15748,3
15749,3
15899,3
15900,3
15901,3
15880,3
15881,3
15886,3
15887,3
15873,3
15874,3
15876,3
15877,3
15878,3
15879,3
15917,3
15918,3
16072,3
16069,3
16070,3
16071,3
16028,3
16029,3
16030,3
16051,3
16052,3
16053,3
16054,3
16033,3
16035,3
16036,3
16038,3
16039,3
16218,3
16219,3
16220,3
16221,3
16223,3
16204,3
16205,3
16206,3
16196,3
16224,3
16187,3
16188,3
16347,3
16348,3
16370,3
16371,3
16372,3
16373,3
16356,3
16357,3
12378,3
12379,3
12400,3
12401,3
12402,3
12399,3
12530,3
12531,3
12434,3
12435,3
12552,3
12550,3
12551,3
12586,3
12587,3
12699,3
12700,3
12702,3
12703,3
12710,3
12711,3
12862,3
12863,3
12851,3
12852,3
13013,3
13014,3
13027,3
13028,3
13179,3
13180,3
13162,3
13163,3
13165,3
13166,3
13301,3
13302,3
13322,3
13323,3
13314,3
13315,3
13452,3
13453,3
13454,3
13472,3
13473,3
13474,3
13475,3
13624,3
13625,3
13623,3
13609,3
13610,3
13611,3
13604,3
13605,3
13776,3
13775,3
13761,3
13762,3
13763,3
13764,3
13765,3
13756,3
13757,3
13758,3
13759,3
13912,3
