id,еца╓_200
5104,2
5096,2
21385,2
21386,2
5103,2
21387,2
5094,2
5095,2
5247,2
21513,2
5130,2
5131,2
21537,2
21538,2
21539,2
21642,2
21689,2
21690,2
21691,2
5248,2
21667,2
21668,2
21841,2
21842,2
21843,2
5281,2
5282,2
5283,2
21819,2
21820,2
21821,2
21793,2
21794,2
21795,2
5433,2
5434,2
5435,2
21979,2
21980,2
21981,2
21971,2
21972,2
21945,2
21946,2
21947,2
21948,2
21936,2
21937,2
21935,2
5554,2
5555,2
5556,2
22097,2
22098,2
22099,2
22100,2
22088,2
22089,2
22087,2
22131,2
22132,2
22133,2
5706,2
5707,2
5708,2
22239,2
22250,2
22251,2
22240,2
22241,2
22242,2
5859,2
5860,2
22145,2
22146,2
22392,2
22393,2
22394,2
22297,2
22298,2
22299,2
22283,2
22284,2
22285,2
22449,2
22450,2
22451,2
22436,2
22437,2
10268,2
26680,2
10269,2
26681,2
10270,2
26682,2
10240,2
10241,2
26832,2
26833,2
26834,2
10283,2
10284,2
10434,2
10435,2
10436,2
10392,2
10393,2
10386,2
10387,2
10388,2
10389,2
10390,2
10391,2
10371,2
10372,2
10373,2
10421,2
10422,2
10587,2
10588,2
26984,2
26985,2
26986,2
10605,2
10606,2
10607,2
10523,2
10524,2
10525,2
10544,2
10545,2
10540,2
10541,2
10542,2
10543,2
10692,2
10693,2
10694,2
10737,2
10738,2
10739,2
10872,2
10873,2
10871,2
10757,2
10758,2
10759,2
10909,2
10910,2
10911,2
10889,2
10890,2
10891,2
11024,2
11025,2
11023,2
11041,2
11042,2
11043,2
11193,2
11194,2
11176,2
11175,2
11345,2
11346,2
11347,2
11329,2
11330,2
11331,2
11326,2
11327,2
11315,2
11480,2
11481,2
11482,2
11483,2
11478,2
11479,2
11466,2
11467,2
11468,2
11504,2
11505,2
11497,2
11498,2
11632,2
11633,2
11634,2
11635,2
11630,2
11631,2
11618,2
11619,2
11620,2
11656,2
11657,2
11658,2
11680,2
11681,2
11781,2
11782,2
11832,2
11833,2
11831,2
11808,2
11809,2
11810,2
11813,2
11814,2
11984,2
11985,2
11983,2
11932,2
11933,2
11934,2
11964,2
11965,2
11966,2
12116,2
12117,2
12118,2
12085,2
12086,2
12248,2
12249,2
12250,2
12247,2
12282,2
12283,2
8314,2
8315,2
8316,2
8318,2
8319,2
8305,2
8306,2
8307,2
24576,2
24577,2
24728,2
24729,2
24727,2
8320,2
8321,2
8322,2
8323,2
8324,2
24737,2
24738,2
8472,2
8473,2
8474,2
8475,2
8476,2
24888,2
24889,2
24890,2
8466,2
8467,2
8468,2
8469,2
8470,2
8471,2
24872,2
24873,2
24871,2
25041,2
25042,2
25024,2
25025,2
8648,2
8649,2
8647,2
25023,2
25176,2
25177,2
8624,2
8625,2
8626,2
8627,2
8619,2
25175,2
8620,2
8621,2
8623,2
25167,2
8613,2
8614,2
8615,2
8793,2
8794,2
8795,2
8799,2
8772,2
8800,2
8801,2
8760,2
8761,2
8762,2
8765,2
8766,2
8767,2
8920,2
8921,2
8912,2
8913,2
8914,2
8917,2
8918,2
8919,2
25320,2
8952,2
25318,2
25319,2
8945,2
8946,2
8947,2
25470,2
25471,2
9072,2
9073,2
9076,2
9077,2
9064,2
9065,2
9066,2
9071,2
25472,2
9105,2
9106,2
9107,2
9097,2
9098,2
9099,2
25617,2
25618,2
25619,2
9240,2
9241,2
9242,2
9224,2
9225,2
9227,2
9228,2
9229,2
9216,2
9217,2
9218,2
9219,2
9223,2
9257,2
9258,2
9259,2
9410,2
9368,2
9369,2
9370,2
9371,2
9374,2
9375,2
25769,2
25770,2
25771,2
9350,2
9351,2
9392,2
9393,2
9394,2
9390,2
9391,2
9376,2
9380,2
9381,2
25921,2
25922,2
25923,2
9544,2
9545,2
9540,2
9541,2
9542,2
9543,2
9501,2
9502,2
9503,2
9528,2
9520,2
9521,2
9522,2
9525,2
9526,2
9527,2
9692,2
9693,2
9694,2
9695,2
9680,2
9672,2
9673,2
9677,2
9678,2
9679,2
9698,2
9699,2
9656,2
