,id,택정_50,택정_100,택정_200,택정_300,택정평균점수
186,26565,0,0,0,0,0.0
187,26564,0,0,0,0,0.0
188,26563,0,0,0,0,0.0
189,26562,0,0,0,0,0.0
190,26561,0,0,0,0,0.0
191,26560,0,0,0,0,0.0
192,26559,0,0,0,0,0.0
193,26538,0,0,0,0,0.0
194,26537,0,0,0,0,0.0
195,26536,0,0,0,0,0.0
196,26535,0,0,0,0,0.0
197,26534,0,0,0,0,0.0
198,26533,0,0,0,0,0.0
199,26532,0,0,0,0,0.0
200,26531,0,0,0,0,0.0
201,26530,0,0,0,1,0.25
202,26529,0,0,0,1,0.25
203,26528,0,0,0,1,0.25
204,26527,0,0,0,0,0.0
205,26526,0,0,0,0,0.0
206,26525,0,0,0,0,0.0
207,26524,0,0,0,0,0.0
208,26523,0,0,0,0,0.0
209,26522,0,0,0,0,0.0
210,26521,0,0,0,0,0.0
211,26520,0,0,0,0,0.0
212,26519,0,0,0,0,0.0
213,26415,0,0,0,0,0.0
214,26414,0,0,0,0,0.0
215,26413,0,0,0,0,0.0
216,26412,0,0,0,0,0.0
217,26411,0,0,0,0,0.0
218,26410,0,0,0,0,0.0
219,26409,0,0,0,0,0.0
220,26408,0,0,0,0,0.0
221,26407,0,0,0,0,0.0
222,26388,0,0,0,0,0.0
223,26387,0,0,0,0,0.0
224,26386,0,0,0,0,0.0
225,26385,0,0,0,0,0.0
226,26384,0,0,0,0,0.0
227,26383,0,0,0,0,0.0
228,26382,0,0,0,0,0.0
229,26381,0,0,0,0,0.0
230,26380,0,0,0,0,0.0
231,26379,0,0,0,0,0.0
232,26378,0,0,0,0,0.0
233,26377,0,0,0,0,0.0
234,26376,0,0,0,0,0.0
235,26375,0,0,0,0,0.0
236,26374,0,0,0,0,0.0
237,26373,0,0,0,0,0.0
238,26372,0,0,0,0,0.0
239,26371,0,0,0,0,0.0
240,26370,0,0,0,0,0.0
241,26369,0,0,0,0,0.0
242,26368,0,0,0,0,0.0
243,26367,0,0,0,0,0.0
244,26264,0,0,0,0,0.0
245,26263,0,0,0,0,0.0
246,26262,0,0,0,0,0.0
247,26261,0,0,0,0,0.0
248,26260,0,0,0,0,0.0
249,26259,0,0,0,0,0.0
250,26258,0,0,0,0,0.0
251,26257,0,0,0,0,0.0
252,26256,0,0,0,0,0.0
253,26255,0,0,0,0,0.0
254,26237,0,0,0,0,0.0
255,26236,0,0,0,0,0.0
256,26235,0,0,0,0,0.0
257,26234,0,0,0,0,0.0
258,26233,0,0,0,0,0.0
259,26232,0,0,0,0,0.0
