id,택정_50,택정_100,택정_200,택정_300
28208,0,0,0,0
28207,0,0,0,0
28055,0,0,0,0
28054,0,0,0,0
28053,0,0,0,0
28052,0,0,0,0
28051,0,0,0,0
28050,0,0,0,0
28049,0,0,0,0
28048,0,0,0,0
28047,0,0,0,0
28046,0,0,0,0
27903,0,0,0,0
27902,0,0,0,0
27901,0,0,0,0
27900,0,0,0,0
27899,0,0,0,0
27898,0,0,0,0
27897,0,0,0,0
27896,0,0,0,0
27895,0,0,0,0
27894,0,0,0,0
27893,0,0,0,0
27892,0,0,0,0
27891,0,0,0,0
27890,0,0,0,0
27751,0,0,0,0
27750,0,0,0,0
27749,0,0,0,0
27748,0,0,0,0
27747,0,0,0,0
27746,0,0,0,0
27745,0,0,0,0
27744,0,0,0,0
27743,0,0,0,0
27742,0,0,0,0
27741,0,0,0,0
27740,0,0,0,0
27739,0,0,0,0
27738,0,0,0,0
27737,0,0,0,0
27736,0,0,0,0
27733,0,0,0,0
27732,0,0,0,0
27599,0,0,0,0
27598,0,0,0,0
27597,0,0,0,0
27596,0,0,0,0
27595,0,0,0,0
27594,0,0,0,0
27593,0,0,0,0
27592,0,0,0,0
27591,0,0,0,0
27590,0,0,0,0
27589,0,0,0,0
27588,0,0,0,0
27587,0,0,0,0
27586,0,0,0,0
27585,0,0,0,0
27584,0,0,0,0
27583,0,0,0,0
27582,0,0,0,0
27581,0,0,0,0
27580,0,0,0,0
27447,0,0,0,0
27446,0,0,0,0
27445,0,0,0,0
27444,0,0,0,0
27443,0,0,0,0
27442,0,0,0,0
27441,0,0,0,0
27440,0,0,0,0
27439,0,0,0,0
27438,0,0,0,0
27437,0,0,0,0
27436,0,0,0,0
27435,0,0,0,0
27434,0,0,0,0
27433,0,0,0,0
27432,0,0,0,0
27431,0,0,0,0
27430,0,0,0,0
27429,0,0,0,0
27428,0,0,0,0
27296,0,0,0,0
27295,0,0,0,0
27294,0,0,0,0
27293,0,0,0,0
27292,0,0,0,0
27291,0,0,0,0
27290,0,0,0,0
27289,0,0,0,0
27288,0,0,0,0
27287,0,0,0,0
27286,0,0,0,0
27285,0,0,0,0
27284,0,0,0,0
27283,0,0,0,0
27282,0,0,0,0
27281,0,0,0,0
27280,0,0,0,0
27279,0,0,0,0
27278,0,0,0,0
27277,0,0,0,0
27144,0,0,0,0
27143,0,0,0,0
27142,0,0,0,0
27141,0,0,0,0
27140,0,0,0,0
27139,0,0,0,0
27138,0,0,0,0
27137,0,0,0,0
27136,0,0,0,0
