fid,ID,spot_nm,sido,sigungu,sub1_nm,sub1_code,sub2_nm,sub2_code,sub3_nm,sub3_code,POP_count,POP_sum
1,1,가야 컨트리클럽,경상남도,김해시,관광장소 및 시설,C,스포츠ㆍ체육시설,C04,골프장,C0406,"338",3.349424
2,2,국립 김해 박물관,경상남도,김해시,관광장소 및 시설,C,전시ㆍ관람시설,C03,박물관(국립ㆍ사립),C0302,"1015",107.158302
3,3,김해가야테마파크,경상남도,김해시,관광장소 및 시설,C,유원ㆍ휴양ㆍ수련시설,C08,유원지,C0803,"362",14.001919
4,4,김해천문대,경상남도,김해시,관광장소 및 시설,C,전시ㆍ관람시설,C03,기타,C0301,"375",17.309677
5,5,노무현대통령생가,경상남도,김해시,문화,A,인물,A01,"출생지, 생가(터)",A0103,"299",3.421105
6,6,대동승마랜드,경상남도,김해시,관광장소 및 시설,C,스포츠ㆍ체육시설,C04,관광승마장,C0423,"203",2.665443
7,7,롯데워터파크,경상남도,김해시,관광장소 및 시설,C,스포츠ㆍ체육시설,C04,수영장,C0404,"609",27.466192
8,8,부경동물원,경상남도,김해시,관광장소 및 시설,C,유원ㆍ휴양ㆍ수련시설,C08,테마공원(Theme Park),C0802,"704",17.597105
9,9,수로왕릉,경상남도,김해시,문화,A,유적지ㆍ사적지,A05,능,A0504,"1094",231.057896
10,10,장유온천,경상남도,김해시,관광장소 및 시설,C,유원ㆍ휴양ㆍ수련시설,C08,온천지구,C0805,"616",292.837228
11,11,정산컨트리클럽,경상남도,김해시,관광장소 및 시설,C,스포츠ㆍ체육시설,C04,골프장,C0406,"185",6.014169
12,12,클레이아크,경상남도,김해시,관광장소 및 시설,C,전시ㆍ관람시설,C03,공연장ㆍ소극장,C0310,"467",67.667627
13,13,한옥체험관,경상남도,김해시,관광장소 및 시설,C,숙박ㆍ식음시설,C05,기타,C0501,"1107",280.101833
