gid,lon,lat
다사87ba59bb,127.3597365000,37.6382628600
다사66bb67ab,127.1242098000,37.7053479300
다사71ab62bb,127.1754366000,37.6649400000
다사74aa56ba,127.2068383000,37.6086883100
다사76bb60bb,127.2378608000,37.6470684500
다사77bb66ab,127.2490295000,37.6966663300
다사83ba66bb,127.3142419000,37.7012937700
다사65ab62bb,127.1074071000,37.6647332000
다사70ba62ab,127.1669530000,37.6604096700
다사86bb65bb,127.3511278000,37.6923327500
다사82ba59aa,127.3030826000,37.6314218200
다사80aa62ab,127.2746608000,37.6606646000
다사66bb62ab,127.1244371000,37.6602819600
다사67ab69ab,127.1297924000,37.7233921700
다사74ba60bb,127.2123556000,37.6470090200
다사74ab64ab,127.2093988000,37.6785486300
다사76ba54aa,127.2352427000,37.5862217200
다사76ba52bb,127.2352826000,37.5749549100
다사78ab66ab,127.2547011000,37.6966782700
다사71aa69bb,127.1723244000,37.7280247000
다사73bb54bb,127.2040684000,37.5929078100
다사69aa59bb,127.1500523000,37.6378272500
다사72bb63ab,127.1924254000,37.6694922200
다사82ba60bb,127.3030409000,37.6471952700
다사78ab62aa,127.2548272000,37.6583716900
다사82ab66ba,127.3000680000,37.6990172500
다사85bb65aa,127.3397997000,37.6855578800
다사73bb60ba,127.2038629000,37.6447346500
다사74aa65ba,127.2065193000,37.6898081900
다사71ba66bb,127.1781154000,37.7010007500
다사86aa67ab,127.3425922000,37.7058416900
다사79ba61ba,127.2690129000,37.6538936200
다사69bb56aa,127.1587075000,37.6040522000
다사76ab72ba,127.2318117000,37.7529615400
다사74bb64ab,127.2150690000,37.6785624600
다사65ab60bb,127.1075020000,37.6467067600
다사87ab62aa,127.3568640000,37.6585396300
다사69bb58ba,127.1586045000,37.6265855300
다사75ab55bb,127.2210258000,37.6019625900
다사70aa67aa,127.1610895000,37.7032063700
다사73ab58ba,127.1982682000,37.6266936200
다사67ab71aa,127.1297138000,37.7391651300
다사76ba54ba,127.2352267000,37.5907284400
다사82bb71bb,127.3056162000,37.7463464200
다사70bb65aa,127.1696775000,37.6852040800
다사70bb61ab,127.1698273000,37.6514043600
다사88ba62ab,127.3710320000,37.6608093300
다사83aa63aa,127.3086567000,37.6674846900
다사82ba63bb,127.3029695000,37.6742353700
다사69aa57ab,127.1501580000,37.6152939900
다사74bb70bb,127.2148446000,37.7371485000
다사73bb61ba,127.2038271000,37.6537479700
다사65ba65aa,127.1101356000,37.6850222700
다사75aa59ab,127.2180745000,37.6335026900
다사73ab72aa,127.1977748000,37.7483725500
다사65aa65ab,127.1044530000,37.6872566800
다사87aa62aa,127.3540297000,37.6585361600
다사67ab63ab,127.1300612000,37.6693131000
다사75aa57aa,127.2181511000,37.6132226100
다사78aa49aa,127.2523815000,37.5411911800
다사85ba56aa,127.3371415000,37.6044333200
다사77aa60aa,127.2407182000,37.6403146900
다사78aa66ab,127.2518653000,37.6966723300
다사70aa64ba,127.1611920000,37.6806733300
다사81ab74aa,127.2885322000,37.7665968400
다사71ba64ba,127.1782030000,37.6807209700
다사69bb59ab,127.1585736000,37.6333455100
다사87aa62ba,127.3540208000,37.6630428600
다사72ab58aa,127.1869546000,37.6221574300
다사72aa65bb,127.1838255000,37.6920028600
다사73aa61ba,127.1953246000,37.6537263100
다사87aa59ab,127.3540782000,37.6337492700
다사82ab46ba,127.3005500000,37.5187483500
다사74aa54aa,127.2069267000,37.5861548100
다사72ba65bb,127.1894968000,37.6920179300
다사67ab62ab,127.1301059000,37.6602998800
다사70aa59bb,127.1613865000,37.6378603200
다사84ab70aa,127.3226800000,37.7306000600
다사73bb66ab,127.2036569000,37.6965610400
다사77aa71ab,127.2403649000,37.7417141100
다사72aa65ab,127.1838447000,37.6874962500
다사74bb54aa,127.2154215000,37.5861756000
다사85aa61bb,127.3313599000,37.6562525800
다사85ab61ab,127.3342041000,37.6517499000
다사74ab72bb,127.2090994000,37.7551609800
다사71ba59ab,127.1784072000,37.6334012300
다사71bb69ba,127.1808450000,37.7257947500
다사72aa57ab,127.1841502000,37.6153898700
다사70aa63ba,127.1612330000,37.6716600900
다사71aa63ba,127.1725723000,37.6716921200
다사71ab54ba,127.1757597000,37.5905800600
다사83ab51aa,127.3117643000,37.5593279300
다사83aa67ab,127.3085583000,37.7057913500
다사74ab65bb,127.2093460000,37.6920685300
다사73ab56bb,127.1983319000,37.6109202400
다사71ba61bb,127.1783100000,37.6559344900
다사85bb66ba,127.3397706000,37.6990778800
다사72aa62bb,127.1839403000,37.6649631000
다사75ab59bb,127.2208911000,37.6380161000
다사77ab56ab,127.2436679000,37.6065206800
다사69ba56ab,127.1558649000,37.6062973100
다사72bb59ab,127.1925741000,37.6334390000
다사83aa68ab,127.3085351000,37.7148046400
다사87ba61bb,127.3597026000,37.6562896900
다사83ab52aa,127.3117416000,37.5683414500
다사76ba51bb,127.2353145000,37.5659414500
다사82ba70aa,127.3028203000,37.7305685200
다사85ba62ba,127.3370136000,37.6630205800
다사76ab60ba,127.2322011000,37.6448023800
다사67aa68ba,127.1269895000,37.7166233700
다사86ab67aa,127.3454331000,37.7035921200
다사86ab65ba,127.3454612000,37.6900721200
다사72ab59ab,127.1869073000,37.6334241000
다사73aa69aa,127.1950480000,37.7213257000
다사70aa60bb,127.1613456000,37.6468736100
다사72ab57aa,127.1869924000,37.6131440700
다사71bb56bb,127.1813368000,37.6108755700
다사82ba62aa,127.3030112000,37.6584620000
다사74ba71bb,127.2119723000,37.7461547800
다사82bb71ab,127.3056280000,37.7418398000
다사74ba54ba,127.2125726000,37.5906754500
다사87bb62bb,127.3625203000,37.6653064200
다사74aa53bb,127.2069356000,37.5839014600
다사80ba69ab,127.2801435000,37.7237684300
다사75aa55ab,127.2182106000,37.5974491600
다사70bb54bb,127.1700863000,37.5928177100
다사69ba58aa,127.1557922000,37.6220706400
다사71ba61aa,127.1783392000,37.6491745200
다사65ba64ba,127.1101592000,37.6805156800
다사72ab59ba,127.1868979000,37.6356774300
다사69ab56bb,127.1530116000,37.6107956900
다사70aa61ba,127.1613149000,37.6536335700
다사70ba61ba,127.1669832000,37.6536497100
다사75aa64bb,127.2178870000,37.6830759200
다사72aa62aa,127.1839689000,37.6582031400
다사74ab55bb,127.2096971000,37.6019352700
다사77aa66aa,127.2405300000,37.6943946000
다사72ab63aa,127.1867654000,37.6672239800
다사67ab68aa,127.1298484000,37.7121257400
다사71ab67ba,127.1752499000,37.7077528800
다사65ba63aa,127.1102299000,37.6669959000
다사76ab51ab,127.2324998000,37.5614283300
다사71ba59aa,127.1784169000,37.6311479000
다사87ab65bb,127.3567991000,37.6923397700
다사75bb71aa,127.2261856000,37.7394287100
다사70aa63ab,127.1612432000,37.6694067800
다사80ba61ba,127.2803496000,37.6539152700
다사85ab65ab,127.3341239000,37.6878033700
다사83aa60ba,127.3087146000,37.6449512500
다사71ba54bb,127.1785818000,37.5928411500
다사75ab66ba,127.2206631000,37.6988558800
다사75ab52bb,127.2211267000,37.5749223200
다사74bb63ab,127.2151035000,37.6695491700
다사83ab54aa,127.3116962000,37.5863684500
다사85ba59ab,127.3370776000,37.6337270200
다사75ba55ab,127.2238747000,37.5974625500
다사77ab55ab,127.2436989000,37.5975072600
다사82ab70bb,127.2999650000,37.7373236800
다사82aa70ab,127.2971400000,37.7328122100
다사72aa66aa,127.1838160000,37.6942561700
다사69ab59bb,127.1528859000,37.6378356200
다사83bb69bb,127.3170114000,37.7283380800
다사73bb67ab,127.2036210000,37.7055742700
다사73ba64ba,127.2008844000,37.6807806800
다사82aa54aa,127.2975381000,37.5863450100
다사69ab61bb,127.1528020000,37.6558621700
다사72aa68ab,127.1837298000,37.7145359100
다사69bb63aa,127.1584188000,37.6671452900
다사85ab55aa,127.3343292000,37.5954159000
다사84aa68bb,127.3198702000,37.7193291700
다사68bb60bb,127.1471762000,37.6468320900
다사88ab63aa,127.3681856000,37.6675662400
다사68ba62aa,127.1442886000,37.6580901500
다사78aa61bb,127.2520004000,37.6561124300
다사72ba56ba,127.1898437000,37.6086448700
다사72aa56ba,127.1841788000,37.6086298500
다사67ba68bb,127.1326514000,37.7188944700
다사74aa67aa,127.2064660000,37.7033280600
다사82ba48ba,127.3033317000,37.5367802300
다사76bb72aa,127.2375035000,37.7484677200
다사70bb66ba,127.1696175000,37.6987239100
다사66ab66bb,127.1185608000,37.7008231300
다사82ba69ab,127.3028382000,37.7238085700
다사70bb63ba,127.1697375000,37.6716842100
다사70aa61aa,127.1613354000,37.6491269300
다사85bb55ba,127.3399835000,37.5999304500
다사79ab68ba,127.2659806000,37.7169811900
다사75aa71bb,127.2176477000,37.7461685200
다사65aa61ab,127.1046443000,37.6512039100
다사67ba69ba,127.1326180000,37.7256543300
다사75ba71ab,127.2233398000,37.7416753800
다사85aa59ab,127.3314108000,37.6337190600
다사87ab59ba,127.3569073000,37.6360061000
다사82aa69aa,127.2971707000,37.7215456300
다사72ba60aa,127.1897126000,37.6401915700
다사86aa62ab,127.3426875000,37.6607749300
다사74ba69aa,127.2120683000,37.7213685000
다사81bb59aa,127.2945826000,37.6314073300
다사67ba65bb,127.1327848000,37.6918549700
다사76aa53aa,127.2296121000,37.5771954400
다사67ab61aa,127.1301618000,37.6490333200
다사71aa60aa,127.1727108000,37.6401456300
다사71aa70aa,127.1723145000,37.7302779900
다사73bb55aa,127.2040595000,37.5951611600
다사73ab65bb,127.1980036000,37.6920400300
다사69ba57bb,127.1558026000,37.6198173100
다사83aa65bb,127.3085931000,37.6922713800
다사83ab67aa,127.3114002000,37.7035425900
다사81aa56aa,127.2861601000,37.6043519600
다사70ba66ba,127.1667817000,37.6987159300
다사73ba56bb,127.2011644000,37.6109274500
다사73bb71ab,127.2034773000,37.7416270900
다사86ba61ba,127.3483701000,37.6540223100
다사84bb62aa,127.3285204000,37.6585018400
다사68ba61aa,127.1443316000,37.6490769000
다사84bb61aa,127.3285411000,37.6494884500
다사67bb68bb,127.1354880000,37.7189032700
다사71aa58ba,127.1727701000,37.6266256600
다사74aa54ba,127.2069091000,37.5906615200
다사75aa54ab,127.2182446000,37.5884357500
다사82ab62aa,127.3001768000,37.6584572300
다사73aa64bb,127.1952049000,37.6830194800
다사67bb65bb,127.1356204000,37.6918637700
다사67bb69ab,127.1354659000,37.7234098500
다사79bb69ba,127.2716261000,37.7260055700
다사71bb62ba,127.1811153000,37.6627021500
다사84aa51bb,127.3202398000,37.5661013000
다사64bb61aa,127.1018223000,37.6489410800
다사81ab58ba,127.2889287000,37.6268906200
다사71bb70aa,127.1808257000,37.7303013400
다사72ba72ab,127.1892521000,37.7506037000
다사85aa62ba,127.3313446000,37.6630126100
다사65aa66bb,127.1043812000,37.7007764100
다사74ab55ba,127.2097058000,37.5996819200
다사82ba68ba,127.3028561000,37.7170486100
다사72bb56ba,127.1926761000,37.6086522800
다사76aa54bb,127.2295550000,37.5929689500
다사73bb73ab,127.2034054000,37.7596534100
다사72bb59bb,127.1925555000,37.6379456600
다사85ab65aa,127.3341289000,37.6855500400
다사84aa68ba,127.3198757000,37.7170758400
다사82aa54ab,127.2975320000,37.5885983800
다사81aa48bb,127.2863468000,37.5390041200
다사67ab66aa,127.1299380000,37.6940994000
다사74aa71bb,127.2062970000,37.7461407800
다사81bb46bb,127.2948857000,37.5209920500
다사85ba62bb,127.3370087000,37.6652739300
