adr,ymd,chenap_count,amount_car,chenap_adr1,chenap_adr2,lng,lat
동대문구 답십리제2동 회기동 102-161,2021-04-01,2,267500,동대문구,망우로18가길,127.04956,37.590415
서울 동대문구 천호대로 145,2021-04-01,2,373940,성북구,아리랑로19길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-04-01,2,454080,동대문구,무학로,127.0398966,37.57439172
동대문구 전농제2동 제기동 591,2021-04-05,3,534210,동대문구,고산자로28길,127.040657,37.5827689
동대문구 전농제2동 제기동 동대문중앙새마을금고,2021-04-05,2,355620,종로구,동숭4라길,127.041494,37.5827957
서울 동대문구 천호대로 145,2021-04-05,2,397920,평택시,서정역로19번길,127.0398966,37.57439172
동대문구 답십리제2동 제기동 693,2021-04-05,2,444740,성북구,고려대로2길,127.038643,37.5864186
동대문구 전농제1동 전농동 209-58,2021-04-06,1,63600,동작구,여의대방로22사길,127.05235,37.5807733
동대문구 전농제2동 청량리동 52-20,2021-04-06,3,439440,동대문구,왕산로43길,127.048005,37.5838655
동대문구 전농제2동 청량리동 214-42,2021-04-06,2,414640,동대문구,왕산로45길,127.046602,37.5858121
동대문구 시립대로4길 45,2021-04-07,4,577100,동대문구,사가정로2길,127.04904,37.5738641
동대문구 전농제1동 전농동 588-1,2021-04-08,1,27880,성북구,장월로26길,127.05113,37.5841795
동대문구 답십리제2동 용두동 693-11,2021-04-14,2,55760,동대문구,천호대로33길,127.043301,37.574569
동대문구 답십리제2동 답십리1동 483-47,2021-04-14,1,27880,동대문구,전농로,127.051188,37.5697637
동대문구 전농제2동 장안동 374-10,2021-04-15,2,461120,노원구,공릉로41길,127.068449,37.5682685
서울 동대문구 고산자로 54길,2021-04-15,2,355620,성북구,안암로9나길,127.038508,37.5872656
동대문구 답십리제2동 전농동 623-14,2021-04-16,2,529980,동대문구,천호대로45나길,127.044265,37.5778122
동대문구 전농제2동 답십리동 530-2,2021-04-19,2,256300,동대문구,천호대로71길,127.05336,37.5676094
동대문구 답십리제2동 답십리동 469-2,2021-04-19,1,63600,관악구,서림11길,127.048847,37.5724045
동대문구 전농제1동 이문동 288-13,2021-04-19,3,395120,강북구,삼양로54라길,127.060638,37.5964195
서울 동대문구 천호대로 145,2021-04-19,2,360590,강북구,한천로105길,127.0398966,37.57439172
동대문구 전농제2동 143 코리아병원,2021-04-20,3,1097010,강남구,압구정로,127.071476,37.5731952
동대문구 전농제2동 전농1동 127-397,2021-04-21,2,266560,광진구,능동로43길,127.050947,37.5809811
동대문구 답십리제2동 서울시립대로16길 45,2021-04-21,1,198960,서초구,주흥10길,127.053323,37.5792231
동대문구 답십리제2동 전농1동 558-120,2021-04-22,3,305640,동대문구,답십리로23길,127.050809,37.5787287
동대문구 전농제1동 제기로17길 53,2021-04-22,3,401250,동대문구,제기로17길,127.040751,37.5891209
동대문구 답십리제2동 전농동 581-67,2021-04-27,2,477200,동대문구,답십리로23나길,127.055689,37.5797356
동대문구 전농제2동 제기동 620-78,2021-04-27,2,701310,안양시,동안구,127.040633,37.5814805
서울 동대문구 천호대로 77길 9,2021-04-28,5,1445520,송파구,송파대로,127.0611161,37.56265348
동대문구 답십리제2동 답십리2동 19-51,2021-04-28,1,23920,예천군,유천면,127.058238,37.5673098
동대문구 전농제2동 제기동 769-4,2021-04-29,1,6450,동대문구,약령시로,127.039615,37.5831297
서울 동대문구 천호대로 145,2021-04-29,3,689820,송파구,양재대로71길,127.0398966,37.57439172
동대문구 답십리제2동 청량리동 40-15,2021-04-29,2,388560,동대문구,전농로34길,127.049794,37.5841711
동대문구 답십리제2동 왕산로 225,2021-04-29,2,398860,동대문구,왕산로,127.047064,37.5820999
서울 동대문구 천호대로 145,2021-04-29,2,617760,은평구,은평로10길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-05-03,5,566560,성북구,화랑로48길,127.0398966,37.57439172
동대문구 전농제2동 청량리동 235-10,2021-05-06,3,401250,동대문구,제기로,127.047246,37.5830549
동대문구 전농제2동 장안1동 464-12,2021-05-10,2,387470,동대문구,전농로10길,127.061101,37.5806791
동대문구 전농제1동 전농로35나길4,2021-05-10,2,267500,서대문구,북아현로11라길,127.056779,37.5682205
