우동리
하계리
방동리
사산리
좌곤리
진영리
여래리
본산리
신용리
설창리
내룡리
죽곡리
의전리
선지리
원지리
덕암리
천곡리
내삼리
양동리
망덕리
농소리
청천리
시례리
송정리
초전리
신안리
산본리
신월리
송현리
담안리
고모리
명동리
퇴래리
병동리
신천리
용덕리
안곡리
안하리
장방리
시산리
가동리
가산리
금곡리
나전리
사촌리
봉림리
생림리
마사리
생철리
안양리
도요리
대감리
매리
감로리
여차리
우계리
묵방리
수안리
주중리
주동리
예안리
초정리
괴정리
덕산리
월촌리
조눌리
동상동
서상동
봉황동
부원동
내동
외동
대성동
구산동
삼계동
풍유동
명법동
이동
화목동
흥동
전하동
강동
어방동
삼정동
삼방동
안동
지내동
불암동
유하동
내덕동
부곡동
무계동
신문동
삼문동
대청동
장유동
응달동
수가동
관동동
율하동
진영읍
주촌면
진례면
한림면
생림면
상동면
대동면
회현동
내외동
북부동
칠산서부동
활천동
삼안동
