학교종류명,설립구분,학교명,도로명주소
고등학교,사립,목동고등학교,서울특별시 양천구 목동동로2길 68
고등학교,사립,서울디자인고등학교,서울특별시 마포구 백범로 139
고등학교,사립,대진디자인고등학교,서울특별시 강남구 광평로39길 93
고등학교,사립,서울관광고등학교,서울특별시 관악구 은천로15길 25
고등학교,공립,서울로봇고등학교,서울특별시 강남구 광평로20길 63
고등학교,공립,성동공업고등학교,서울특별시 중구 다산로 290
고등학교,공립,불암고등학교,서울특별시 노원구 중계로 155
고등학교,공립,월계고등학교,서울특별시 노원구 초안산로5길 66
고등학교,공립,선유고등학교,서울특별시 영등포구 선유로 227
고등학교,사립,서서울생활과학고등학교,서울특별시 구로구 오리로 1355-10
고등학교,사립,영동일고등학교,서울특별시 송파구 석촌호수로 93
고등학교,공립,자운고등학교,서울특별시 도봉구 노해로69길 150
고등학교,공립,신현고등학교,서울특별시 중랑구 봉화산로 174
고등학교,공립,문정고등학교,서울특별시 송파구 송이로34길 62
고등학교,공립,등촌고등학교,서울특별시 강서구 공항대로39길 115
고등학교,공립,도봉고등학교,서울특별시 도봉구 도봉산길 27
고등학교,공립,경일고등학교,서울특별시 성동구 성수일로 27
고등학교,사립,서울문영여자고등학교,서울특별시 관악구 관악로 85
고등학교,사립,염광고등학교,서울특별시 노원구 월계로45가길 9
고등학교,사립,상명고등학교,서울특별시 노원구 덕릉로 553
고등학교,사립,미래산업과학고등학교,서울특별시 노원구 덕릉로82길 54
고등학교,공립,방산고등학교,서울특별시 송파구 오금로27길 18
고등학교,공립,누원고등학교,서울특별시 도봉구 마들로 849
고등학교,사립,서울디지텍고등학교,서울특별시 용산구 회나무로12길 27
고등학교,사립,미림여자정보과학고등학교,서울특별시 관악구 호암로 546
고등학교,공립,노원고등학교,서울특별시 노원구 노원로 586
고등학교,공립,경인고등학교,서울특별시 구로구 경인로46길 31
고등학교,공립,창동고등학교,서울특별시 도봉구 노해로62길 7
고등학교,공립,독산고등학교,서울특별시 금천구 문성로 64
고등학교,공립,수락고등학교,서울특별시 노원구 동일로245길 143
고등학교,사립,청원여자고등학교,서울특별시 노원구 한글비석로 506
고등학교,사립,이화여자대학교사범대학부속이화금란고등학교,서울특별시 서대문구 성산로 560
고등학교,사립,오류고등학교,서울특별시 구로구 오리로21길 2
고등학교,사립,세명컴퓨터고등학교,서울특별시 은평구 통일로92가길 33
고등학교,공립,선린인터넷고등학교,서울특별시 용산구 원효로97길 33-4
고등학교,사립,한양공업고등학교,서울특별시 중구 을지로 299
고등학교,사립,정화여자상업고등학교,서울특별시 동대문구 홍릉로15길 50
고등학교,사립,일신여자상업고등학교,서울특별시 송파구 송파대로38길 8
고등학교,사립,유한공업고등학교,서울특별시 구로구 경인로 8
고등학교,사립,영등포공업고등학교,서울특별시 강서구 허준로5길 15
고등학교,사립,수도전기공업고등학교,서울특별시 강남구 개포로 410
고등학교,사립,서울여자상업고등학교,서울특별시 관악구 관악로 85
고등학교,사립,덕일전자공업고등학교,서울특별시 구로구 서해안로21길 5-12
고등학교,공립,휘경공업고등학교,서울특별시 동대문구 겸재로 21
고등학교,공립,성수공업고등학교,서울특별시 성동구 뚝섬로 365
고등학교,공립,서울공업고등학교,서울특별시 동작구 대방동1길 46
고등학교,공립,경기상업고등학교,서울특별시 종로구 자하문로 136
고등학교,공립,경기기계공업고등학교,서울특별시 노원구 공릉로 264
고등학교,공립,강서공업고등학교,서울특별시 강서구 방화대로47길 9
고등학교,사립,휘문고등학교,서울특별시 강남구 역삼로 541
