공원명,X좌표(WGS84),Y좌표(WGS84)
남산도시자연공원,126.9903773,37.5501402
길동생태공원,127.1547791,37.5403935
서울대공원,127.0198465,37.4264494
서울숲,127.0417982,37.5430717
월드컵공원,126.878907,37.571805
광화문시민열린마당,126.9780227,37.5750449
진관근린공원(구파발폭포),126.9192155,37.6370244
중마루근린공원,126.9112668,37.519832
응봉공원,127.0217653,37.5572281
매화근린공원,126.86115,37.5575833
성수근린공원,127.0524023,37.5448144
샛마을근린공원,127.1471618,37.5504807
여의도근린공원,126.922377,37.526129
간데메근린공원,127.0488644,37.5732438
훈련원근린공원,127.0038188,37.5675245
영등포근린공원,126.910662,37.515423
보라매근린공원,126.918289,37.492333
어린이대공원,127.0809212,37.5498987
천호근린공원,127.1263451,37.5444741
용산가족공원,126.983335,37.522226
독립근린공원,126.956771,37.5738289
낙산근린공원,127.007587,37.580477
양재시민의숲,127.035042,37.471225
관악산도시자연공원,126.96413,37.445208
효창근린공원,126.95993,37.545234
감로천생태공원(관악산),126.9079509,37.469625
개운산근린공원,127.0252858,37.5965837
개웅산근린공원,126.8485734,37.4888943
경희궁,126.9685341,37.570773
국립현충원,126.9736849,37.4998621
계남근린공원,126.8479643,37.5138358
고척근린공원,126.8521495,37.5042944
파리근린공원,126.8763932,37.5349739
허준공원,126.8526745,37.5679874
궁동근린공원,126.9229851,37.5690506
궁산근린공원,126.838952,37.5735645
까치산근린공원,126.9640735,37.4845836
꿩고개근린공원,126.8157075,37.5801585
노량진공원,126.928607,37.510234
답십리근린공원,127.0626512,37.5750896
대모산도시자연공원,127.0809639,37.4796489
탑골근린공원,126.9882853,37.5710052
갈산근린공원,126.8689146,37.5082119
천마근린공원,127.1586644,37.5005173
도곡근린공원,127.0450338,37.4903127
도산근린공원,127.0350296,37.5246752
청량공원,127.0511145,37.6020055
초안산근린공원,127.0455446,37.648316
동명근린공원,127.1676703,37.5598341
마로니에공원,127.0027886,37.5802295
자매근린공원,126.9302895,37.5177329
장지근린공원,127.1387,37.4957083
명일근린공원,127.1613641,37.5537143
방화근린공원,126.8132285,37.5819812
아시아근린공원,127.0762885,37.5102779
배봉산근린공원,127.0641623,37.5812324
안산도시자연공원,126.9390273,37.5798246
염창근린공원,126.8689817,37.5579702
백련근린공원,126.928616,37.5879662
오금근린공원,127.1323957,37.5038715
오동근린공원,127.0317269,37.6327957
봉산도시자연공원,126.9020153,37.604071
온수도시자연공원,126.83695,37.5002598
봉은공원,127.0554961,37.5139026
올림픽공원,127.122959,37.520934
와룡근린공원,126.9901672,37.5907944
봉화산근린공원,127.0923625,37.6106404
북악산도시자연공원,126.9737295,37.5929992
북한산국립공원,127.000938,37.624549
외국인묘지공원,126.911414,37.546797
불광근린공원,126.9298962,37.6188016
불암산도시자연공원,127.0952714,37.6636719
용마폭포공원,127.0905888,37.5731968
사육신공원,126.948636,37.5137049
용왕산근린공원,126.8783125,37.5429593
사직근린공원,126.9674018,37.5759864
우장산근린공원,126.844932,37.5541932
삼일근린공원,126.9743686,37.4860183
삼청근린공원,126.9842875,37.5895821
인왕산도시자연공원,126.9578438,37.5849001
상도근린공원,126.9385469,37.492299
일자산도시자연공원,127.1574587,37.5431657
쌍문근린공원,127.0271316,37.6531456
수락산도시자연공원,127.0813633,37.699232
송파나루근린공원(석촌호수),127.0983002,37.5069328
선유도근린공원,126.90014,37.543418
손기정체육공원,126.9652702,37.5560189
성북근린공원,127.0078625,37.5948509
봉제산공원,126.8517836,37.5421979
서울창포원,127.047938,37.689585
북서울꿈의숲,127.0407344,37.6233355
서서울호수공원,126.8304789,37.5278392
중랑캠핑숲,127.1093075,37.6049896
솔밭근린공원,127.0116241,37.652331
금천체육공원(관악산),126.908681,37.468164
금천폭포근린공원,126.9040127,37.4468663
만수천공원(관악산),126.9090028,37.4734274
발바닥공원,127.031982,37.6597135
월천근린공원,127.0509895,37.6473889
용두근린공원,127.0390042,37.5732791
상암근린공원,126.8859012,37.5760106
와우근린공원,126.9289936,37.5517298
금호근린공원,127.0189457,37.5494726
달맞이근린공원,127.0212054,37.543564
문정근린공원,127.1275819,37.4862156
문화예술공원,127.030517,37.467654
세종로공원,126.9758875,37.5735
샘말공원(관악산),126.938511,37.4642128
초안산생태공원,127.0405382,37.6479483
푸른수목원,126.82407,37.483029
서오능도시자연공원,126.9134338,37.6374823
청계산도시자연공원,127.0424726,37.4224347
개화근린공원,126.8068278,37.5813917
아차산생태공원,127.1010031,37.5517142
인능산도시자연공원,127.0666632,37.4482109
구룡산,127.061567,37.4689473
우면산도시자연공원,127.0091324,37.470484
향림근린공원,126.9240693,37.6293824
신사근린공원,126.9102948,37.5920771
문화역 서울284,126.9715923,37.5558722
광평근린공원,127.092184,37.4880445
청담근린공원,127.052453,37.5213259
허브천문공원,127.1533951,37.5372715
연신내물빛공원,126.9207354,37.619052
나들이근린공원,127.113261,37.6054218
숭인근린공원,127.0178267,37.5764419
서일대뒷산공원,127.0987817,37.5877155
용마도시자연공원(사가정공원),127.095997,37.5797622
문화비축기지,126.8932455,37.57171848
경춘선숲길,127.076482,37.627077
율현공원,127.115594,37.472332
서울로7017,,
