EMD_CD,EMD_ENG_NM,EMD_KOR_NM,영치건수,등록건수,체납건수,,,,
11230101,Sinseol-dong,신설동,3,1346,124,,,,
11230102,Yongdu-dong,용두동,30,8410,433,,,9656.5,377.3
11230103,Jegi-dong,제기동,37,6359,417,,,,
11230104,Jeonnong-dong,전농동,44,13214,426,,,9656.5,377.3
11230105,Dapsipni-dong,답십리동,54,18011,390,,,,
11230106,Jangan-dong,장안동,61,22810,889,,,,
11230107,Cheongnyangni-dong,청량리동,27,5091,217,,,,
11230108,Hoegi-dong,회기동,5,1971,164,,,,
11230109,Hwigyeong-dong,휘경동,15,10096,310,,,,
11230110,Imun-dong,이문동,22,9257,403,,,,
