"id","nm","adr","x","y","park_lot"
1365,"","서울특별시 동대문구 용두동 27-22번지",127.0393972,37.57653796,3
1366,"","서울특별시 동대문구 용두동 27-23번지",127.0393175,37.57615831,3
1367,"","서울특별시 동대문구 용두동 27-24번지",127.0393437,37.57603496,4
1368,"진-하우스","서울특별시 동대문구 용두동 27-25번지",127.039195,37.57603699,5
1369,"","서울특별시 동대문구 용두동 27-26번지",127.0390496,37.57604514,4
1370,"","서울특별시 동대문구 용두동 27-2번지",127.0390909,37.57616704,4
1371,"하이마트 용두점","서울특별시 동대문구 용두동 27-3번지",127.0387818,37.57650087,14
1372,"","서울특별시 동대문구 용두동 27-4번지",127.0386391,37.57625981,41
1373,"","서울특별시 동대문구 용두동 29-1번지",127.0391711,37.57567137,55
1374,"용두문화복지센터","서울특별시 동대문구 용두동 29-3번지",127.0391529,37.57533486,19
1375,"화성빌딩","서울특별시 동대문구 용두동 29-4번지",127.0386054,37.57575859,48
1376,"","서울특별시 동대문구 용두동 29-6번지",127.0386022,37.57543397,27
1377,"홈플러스 동대문점","서울특별시 동대문구 용두동 33-1번지",127.0387893,37.57451111,532
1378,"동대문환경자원센터","서울특별시 동대문구 용두동 34-1번지",127.0400955,37.5732254,42
1379,"한독빌딩","서울특별시 동대문구 용두동 36-10번지",127.0377106,37.57338359,17
1380,"창조와공간","서울특별시 동대문구 용두동 36-2번지",127.0377314,37.57369875,59
1381,"수화빌딩","서울특별시 동대문구 용두동 38-16번지",127.0375768,37.57461304,4
1382,"LK모터스","서울특별시 동대문구 용두동 39-1035번지",127.0414723,37.57334034,1
1383,"월드빌","서울특별시 동대문구 용두동 39-104번지",127.0410867,37.57548656,8
1384,"","서울특별시 동대문구 용두동 39-1053번지",127.0416287,37.57328136,4
1385,"","서울특별시 동대문구 용두동 39-111번지",127.0410832,37.57454493,3
1386,"","서울특별시 동대문구 용두동 39-114번지",127.0420889,37.57428175,2
1387,"","서울특별시 동대문구 용두동 39-15번지",127.0400288,37.57629484,30
1388,"","서울특별시 동대문구 용두동 39-17번지",127.0409244,37.57664475,1
1389,"주은하우스","서울특별시 동대문구 용두동 39-359번지",127.0432086,37.57666871,4
1390,"청량리 건축팀 처소","서울특별시 동대문구 용두동 39-36번지",127.0449717,37.5768888,3
1391,"현진그린빌","서울특별시 동대문구 용두동 39-375번지",127.0434041,37.57595533,8
1392,"대원파크빌","서울특별시 동대문구 용두동 39-382번지",127.0432017,37.57553301,8
1393,"로얄팰리스","서울특별시 동대문구 용두동 39-391번지",127.0430717,37.57526123,8
1394,"다온하우스","서울특별시 동대문구 용두동 39-403번지",127.0409043,37.57588468,3
1395,"","서울특별시 동대문구 용두동 39-40번지",127.0407768,37.57648334,2
1396,"인규빌딩","서울특별시 동대문구 용두동 39-411번지",127.0411793,37.5756797,5
1397,"","서울특별시 동대문구 용두동 39-412번지",127.0412337,37.57579176,6
1398,"","서울특별시 동대문구 용두동 39-413번지",127.0412843,37.57590284,4
1399,"에덴하우스","서울특별시 동대문구 용두동 39-415번지",127.0413932,37.57613273,7
1400,"","서울특별시 동대문구 용두동 39-416번지",127.0415821,37.57594634,6
1401,"","서울특별시 동대문구 용두동 39-418번지",127.0414764,37.57572104,4
1402,"","서울특별시 동대문구 용두동 39-421번지",127.0416148,37.57566882,1
1403,"","서울특별시 동대문구 용두동 39-422번지",127.0416549,37.57575576,2
1404,"","서울특별시 동대문구 용두동 39-423번지",127.0416975,37.57584818,8
1405,"","서울특별시 동대문구 용두동 39-426번지",127.0418268,37.57570263,1
1406,"용두동 그린캐스빌","서울특별시 동대문구 용두동 39-427번지",127.0417601,37.57555651,8
1407,"","서울특별시 동대문구 용두동 39-430번지",127.0419374,37.57558915,4
1408,"신광교회","서울특별시 동대문구 용두동 39-432번지",127.0420401,37.57581608,3
1409,"용두 홍원하이빌","서울특별시 동대문구 용두동 39-455번지",127.0435888,37.57523437,7
1410,"","서울특별시 동대문구 용두동 39-456번지",127.0434244,37.57527786,2
1411,"천우네오젠","서울특별시 동대문구 용두동 39-463번지",127.0427864,37.57466118,8
1412,"천우네오젠","서울특별시 동대문구 용두동 39-481번지",127.0431623,37.57482007,8
1413,"","서울특별시 동대문구 용두동 39-484번지",127.0430339,37.57458289,1
1414,"라라랜드","서울특별시 동대문구 용두동 39-493번지",127.0431195,37.57455709,1
1415,"","서울특별시 동대문구 용두동 39-501번지",127.0424641,37.5737285,1
1416,"용두드림빌","서울특별시 동대문구 용두동 39-507번지",127.0423597,37.57377097,8
1417,"","서울특별시 동대문구 용두동 39-523번지",127.0417717,37.57690664,2
1418,"","서울특별시 동대문구 용두동 39-524번지",127.0416367,37.57694462,3
1419,"그린캐슬","서울특별시 동대문구 용두동 39-535번지",127.0424648,37.57673043,10
1420,"","서울특별시 동대문구 용두동 39-545번지",127.0426367,37.57651035,4
1421,"용두팰리스","서울특별시 동대문구 용두동 39-546번지",127.0426822,37.57660989,8
1422,"","서울특별시 동대문구 용두동 39-570번지",127.0423243,37.57585039,7
1423,"","서울특별시 동대문구 용두동 39-571번지",127.0422699,37.57573373,3
1424,"","서울특별시 동대문구 용두동 39-572번지",127.0422218,37.57562878,6
1425,"","서울특별시 동대문구 용두동 39-573번지",127.042172,37.5755233,3
1426,"그린캐스빌","서울특별시 동대문구 용두동 39-581번지",127.0429088,37.57600272,7
1427,"","서울특별시 동대문구 용두동 39-583번지",127.0428491,37.57587462,1
1428,"","서울특별시 동대문구 용두동 39-588번지",127.0428735,37.57626024,7
1429,"천우네오젠","서울특별시 동대문구 용두동 39-602번지",127.0425505,37.57558461,8
1430,"천우네오젠","서울특별시 동대문구 용두동 39-610번지",127.043026,37.57582239,10
1431,"","서울특별시 동대문구 용두동 39-614번지",127.0431883,37.57617381,4
1432,"","서울특별시 동대문구 용두동 39-620번지",127.0428475,37.57517446,1
1433,"탑스하우징","서울특별시 동대문구 용두동 39-624번지",127.0428979,37.57556898,10
1434,"","서울특별시 동대문구 용두동 39-644번지",127.0424073,37.5749573,3
1435,"","서울특별시 동대문구 용두동 39-649번지",127.0421747,37.57445931,6
1436,"","서울특별시 동대문구 용두동 39-650번지",127.0420408,37.57449891,1
1437,"가온하우스","서울특별시 동대문구 용두동 39-660번지",127.0419692,37.57477437,2
1438,"다솜","서울특별시 동대문구 용두동 39-663번지",127.0417315,37.5745939,13
1439,"풀 하우스","서울특별시 동대문구 용두동 39-66번지",127.041974,37.57644202,8
1440,"주영빌주택","서울특별시 동대문구 용두동 39-670번지",127.04173,37.57516008,4
1441,"","서울특별시 동대문구 용두동 39-671번지",127.0416869,37.57506865,2
1442,"삼성하이츠","서울특별시 동대문구 용두동 39-675번지",127.0415001,37.57466471,7
1443,"포스코빌","서울특별시 동대문구 용두동 39-677번지",127.0414168,37.57483457,2
1444,"헤리움빌","서울특별시 동대문구 용두동 39-680번지",127.0415463,37.57511131,2
1445,"에버하임","서울특별시 동대문구 용두동 39-684번지",127.0413481,37.5751167,7
1446,"","서울특별시 동대문구 용두동 39-690번지",127.0411004,37.57492857,2
1447,"그린캐스빌19차","서울특별시 동대문구 용두동 39-692번지",127.0412079,37.57515909,9
1448,"","서울특별시 동대문구 용두동 39-698번지",127.0409459,37.57518441,2
1449,"로미오하우스","서울특별시 동대문구 용두동 39-699번지",127.040904,37.57509379,3
1450,"","서울특별시 동대문구 용두동 39-700번지",127.0408608,37.57500172,3
1451,"","서울특별시 동대문구 용두동 39-701번지",127.0408001,37.57487317,8
1452,"","서울특별시 동대문구 용두동 39-702번지",127.0406551,37.57491773,5
1453,"","서울특별시 동대문구 용두동 39-703번지",127.0407157,37.57504619,2
1454,"","서울특별시 동대문구 용두동 39-704번지",127.0407588,37.5751369,2
