순번,대지위치,시군구코드,법정동코드,관리건축물대장PK,도로명대지위치,건물명,주용도코드,옥내기계식대수(대),옥외기계식대수(대),옥내자주식대수(대),옥외자주식대수(대),총주차면수,위치별선택,X,Y
16114,서울특별시 동대문구 장안동 319-16번지,11230,10600,11230-14216,서울특별시 동대문구 장한로36길 23-9,,3000,0,0,0,2,2,1,127.0735084,37.57790603
16117,서울특별시 동대문구 장안동 319-2번지,11230,10600,11230-15279,서울특별시 동대문구 장한로36길 15,장안동 신부파스카 아파트,2000,0,0,19,6,25,1,127.0731425,37.57769984
16118,서울특별시 동대문구 장안동 319-3번지,11230,10600,11230-13777,서울특별시 동대문구 장한로36길 17,장안동 신부파스카아파트,2000,0,0,2,6,8,1,127.0733421,37.57763277
16119,서울특별시 동대문구 장안동 319-4번지,11230,10600,11230-22652,서울특별시 동대문구 장한로36길 23-1,,1000,0,0,0,5,5,1,127.0734854,37.57762809
16120,서울특별시 동대문구 장안동 319-5번지,11230,10600,11230-10197,서울특별시 동대문구 장한로36길 23-5,,1000,0,0,0,5,5,1,127.0734321,37.57779489
16121,서울특별시 동대문구 장안동 319-6번지,11230,10600,11230-100230912,서울특별시 동대문구 장한로28가길 114,U-포그니,2000,0,0,5,19,24,1,127.0731744,37.57802985
16125,서울특별시 동대문구 장안동 319-9번지,11230,10600,11230-10756,서울특별시 동대문구 장한로36길 23-47,,4000,0,0,1,2,3,1,127.0735123,37.57854258
16126,서울특별시 동대문구 장안동 320-10번지,11230,10600,11230-22225,서울특별시 동대문구 장한로34길 23-11,,2000,0,0,0,8,8,1,127.0734822,37.5773795
16134,서울특별시 동대문구 장안동 320-19번지,11230,10600,11230-29655,서울특별시 동대문구 장한로34길 17-23,,3000,0,0,0,4,4,1,127.0731847,37.57741248
16135,서울특별시 동대문구 장안동 320-1번지,11230,10600,11230-16388,서울특별시 동대문구 장한로36길 14,,3000,0,0,1,2,3,1,127.0730508,37.57740608
16136,서울특별시 동대문구 장안동 320-20번지,11230,10600,11230-10054,서울특별시 동대문구 장한로34길 17-21,,1000,0,0,0,2,2,1,127.0731781,37.57729239
16144,서울특별시 동대문구 장안동 320-29번지,11230,10600,11230-22177,서울특별시 동대문구 장한로34길 17-1,,3000,0,0,0,4,4,1,127.0731188,37.5764117
16152,서울특별시 동대문구 장안동 320-9번지,11230,10600,11230-100215432,서울특별시 동대문구 장한로34길 17-24,동화시티빌,2000,0,0,0,7,7,1,127.0733626,37.57738399
16153,서울특별시 동대문구 장안동 321-10번지,11230,10600,11230-100225577,서울특별시 동대문구 장한로32길 19,삼성리치캐슬,2000,0,0,0,42,42,1,127.0732874,37.57560358
16167,서울특별시 동대문구 장안동 321-4번지,11230,10600,11230-30837,서울특별시 동대문구 장한로28가길 64,,4000,0,0,5,3,8,1,127.0730215,37.5758454
16173,서울특별시 동대문구 장안동 321-9번지,11230,10600,11230-10938,서울특별시 동대문구 장한로32길 17,현진빌딩,4000,0,8,0,0,8,1,127.0730613,37.57538604
16174,서울특별시 동대문구 장안동 323번지,11230,10600,11230-23940,서울특별시 동대문구 답십리로69길 27,서울장평초등학교,10000,0,0,0,22,22,1,127.0733037,37.57354723
16175,서울특별시 동대문구 장안동 324-11번지,11230,10600,11230-2807,서울특별시 동대문구 답십리로69길 45,,3000,0,0,2,0,2,1,127.0738516,37.5743722
16176,서울특별시 동대문구 장안동 324-1번지,11230,10600,11230-11872,서울특별시 동대문구 답십리로69길 55,웰빙프라자,4000,15,0,23,2,40,1,127.073808,37.57469974
16182,서울특별시 동대문구 장안동 324-8번지,11230,10600,11230-17113,서울특별시 동대문구 장한로30길 31,,4000,0,0,1,2,3,1,127.0738454,37.57424553
16183,서울특별시 동대문구 장안동 324-9번지,11230,10600,11230-22942,서울특별시 동대문구 답십리로69길 49,,4000,0,0,1,1,2,1,127.0738666,37.57448203
16184,서울특별시 동대문구 장안동 326-10번지,11230,10600,11230-24136,서울특별시 동대문구 장한로32길 27,삼성그린아파트,2000,0,0,25,9,34,1,127.0738701,37.57536347
16185,서울특별시 동대문구 장안동 326-13번지,11230,10600,11230-100257975,서울특별시 동대문구 답십리로69길 71,이제이빌딩,3000,0,0,0,4,4,1,127.073971,37.57551783
16187,서울특별시 동대문구 장안동 326-2번지,11230,10600,11230-100228744,서울특별시 동대문구 장한로32길 23-6,콘체르토,2000,0,0,28,1,29,1,127.0736451,37.5760426
16194,서울특별시 동대문구 장안동 326-5번지,11230,10600,11230-100238012,서울특별시 동대문구 답십리로69길 75,하우젠캐슬,2000,0,0,0,11,11,1,127.0738941,37.57569457
16198,서울특별시 동대문구 장안동 327-11번지,11230,10600,11230-100237692,서울특별시 동대문구 장한로36길 32,삼환파크빌,2000,0,0,5,7,12,1,127.0740114,37.57737151
16203,서울특별시 동대문구 장안동 327-6번지,11230,10600,11230-100246034,서울특별시 동대문구 장한로34길 23-4,삼화에코빌8차,2000,0,0,5,2,7,1,127.0736787,37.57652019
16205,서울특별시 동대문구 장안동 327-8번지,11230,10600,11230-100225272,서울특별시 동대문구 장한로34길 29,현대캐슬,2000,0,0,6,4,10,1,127.0738703,37.57643259
16207,서울특별시 동대문구 장안동 327번지,11230,10600,11230-3995,서울특별시 동대문구 답십리로69길 99,장안동 정은스카이빌아파트 101동,2000,0,0,97,27,124,1,127.0738679,37.57691624
16216,서울특별시 동대문구 장안동 328번지,11230,10600,11230-1985,서울특별시 동대문구 장안벚꽃로 201,,10000,0,0,0,56,56,1,127.0753238,37.57788776
16222,서울특별시 동대문구 장안동 329-2번지,11230,10600,11230-100208069,서울특별시 동대문구 장안벚꽃로1길 7,장안 힐스테이트,2000,0,0,981,21,1002,1,127.0753501,37.57596458
16276,서울특별시 동대문구 장안동 329-5번지,11230,10600,11230-26820,서울특별시 동대문구 답십리로69길 100,장안지구대,3000,0,0,0,3,3,1,127.0743651,37.57678375
16280,서울특별시 동대문구 장안동 330-2번지,11230,10600,11230-33164,서울특별시 동대문구 답십리로 293,,4000,0,4,0,9,13,1,127.0730556,37.57250674
16281,서울특별시 동대문구 장안동 330-3번지,11230,10600,11230-16411,서울특별시 동대문구 답십리로 297,국민은행 장안동지점,14000,0,0,0,11,11,1,127.0735185,37.57247275
16290,서울특별시 동대문구 장안동 330-9번지,11230,10600,11230-34736,서울특별시 동대문구 장한로28길 18,,4000,0,0,1,1,2,1,127.073015,37.57283914
16291,서울특별시 동대문구 장안동 331-10번지,11230,10600,11230-32323,서울특별시 동대문구 장한로28길 50,,3000,0,0,0,7,7,1,127.0748066,37.57264404
16292,서울특별시 동대문구 장안동 331-11번지,11230,10600,11230-14836,서울특별시 동대문구 장한로28길 48,,4000,0,0,0,2,2,1,127.074612,37.57265812
16293,서울특별시 동대문구 장안동 331-12번지,11230,10600,11230-28718,서울특별시 동대문구 장한로28길 44,,4000,0,0,5,3,8,1,127.074435,37.57267067
16294,서울특별시 동대문구 장안동 331-1번지,11230,10600,11230-9525,서울특별시 동대문구 답십리로69길 8,장안동 근린생활시설,4000,0,0,5,0,5,1,127.07404,37.57269975
16295,서울특별시 동대문구 장안동 331-2번지,11230,10600,11230-9092,서울특별시 동대문구 답십리로 303,,4000,0,0,1,9,10,1,127.0740679,37.57243412
16296,서울특별시 동대문구 장안동 331-3번지,11230,10600,11230-22006,서울특별시 동대문구 답십리로 305,,4000,0,0,0,10,10,1,127.0743978,37.57241256
