EMD_KOR_NM,체납건수_,영치건수_,결합한 레
신설동,124,10,808768.9516
용두동,433,180,726286.4434
제기동,417,50,731447.9616
전농동,426,58,799983.6385
답십리동,390,67,854675.0513
장안동,889,118,844908.2902
청량리동,217,50,783690.2765
회기동,164,6,347540.9756
휘경동,310,15,641906.129
이문동,403,16,487835.3598
