번호,신고일시,구정보,주소,조치일,lon,lat
29543,2022-02-14 15:01,강서구,서울특별시 강서구 마곡동 733-1,2022-02-14 15:03,0,0
29780,2022-02-15 11:20,강서구,서울특별시 강서구 마곡동 752,2022-02-15 11:21,0,0
30201,2022-02-16 14:46,강서구,서울특별시 강서구 마곡동 769-3,2022-02-16 14:46,0,0
30488,2022-02-17 14:17,강서구,서울특별시 강서구 마곡동 769-3,2022-02-17 14:18,0,0
32242,2022-02-25 15:06,강서구,서울특별시 강서구 마곡동 769-3,2022-02-25 15:07,0,0
32740,2022-03-02 10:38,강서구,서울특별시 강서구 마곡동 769-2,2022-03-02 10:39,0,0
32857,2022-03-02 14:31,강서구,서울특별시 강서구 마곡동 769-2,2022-03-02 14:32,0,0
32873,2022-03-02 15:17,강서구,서울특별시 강서구 마곡동 769-3,2022-03-02 15:18,0,0
32877,2022-03-02 15:22,강서구,서울특별시 강서구 마곡동 769-3,2022-03-02 15:23,0,0
33771,2022-03-07 10:45,강서구,서울특별시 강서구 마곡동 744,2022-03-07 10:47,0,0
34625,2022-03-10 11:40,강서구,서울특별시 강서구 마곡동 744,2022-03-10 11:41,0,0
35667,2022-03-15 10:25,강서구,서울특별시 강서구 마곡동 752,2022-03-15 10:26,0,0
36000,2022-03-16 9:53,강서구,서울특별시 강서구 마곡동 769-2,2022-03-16 9:55,0,0
36003,2022-03-16 9:55,강서구,서울특별시 강서구 마곡동 769-3,2022-03-16 9:56,0,0
36090,2022-03-16 11:18,강서구,서울특별시 강서구 마곡동 796,2022-03-16 11:20,0,0
36100,2022-03-16 11:33,강서구,서울특별시 강서구 마곡동 744,2022-03-16 11:33,0,0
36218,2022-03-16 14:55,강서구,서울특별시 강서구 마곡동 796,2022-03-16 14:56,0,0
36999,2022-03-21 10:00,강서구,서울특별시 강서구 마곡동 752,2022-03-21 10:01,0,0
37828,2022-03-24 23:49,송파구,서울특별시 송파구 거여동 657-11,2022-03-25 9:02,0,0
42016,2022-04-19 7:16,송파구,서울특별시 송파구 거여동 657-9,2022-04-19 11:14,0,0
42178,2022-04-19 14:23,강서구,서울특별시 강서구 마곡동 769-3,2022-04-19 14:25,0,0
42328,2022-04-20 11:04,강서구,서울특별시 강서구 마곡동 755-4,2022-04-20 11:05,0,0
