건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
14999,기타창고시설,69539,1,127.1077063,37.67
14999,기타창고시설,69642,1,127.1062209,37.683
14999,기타창고시설,61916,1,127.1084556,37.682
14999,기타창고시설,82530,1,127.1083849,37.681
14999,기타창고시설,71477,1,127.1827546,37.615
14999,기타창고시설,76156,1,127.180618,37.617
14999,기타창고시설,69122,1,127.1835725,37.619
14999,기타창고시설,71832,1,127.1837842,37.619
14999,기타창고시설,71833,1,127.1842397,37.619
14999,기타창고시설,81964,1,127.1834454,37.621
14999,기타창고시설,68066,1,127.1921668,37.627
14999,기타창고시설,68067,1,127.1919647,37.627
14999,기타창고시설,73260,1,127.1957971,37.629
14999,기타창고시설,10883,1,127.1972194,37.633
14999,기타창고시설,80289,1,127.2256242,37.639
14999,기타창고시설,82812,1,127.2286863,37.639
14999,기타창고시설,69463,1,127.2486086,37.652
14999,기타창고시설,70084,1,127.2989421,37.651
14999,기타창고시설,67183,1,127.3501569,37.656
14999,기타창고시설,70307,1,127.3501648,37.656
14999,기타창고시설,75982,1,127.3547795,37.662
14999,기타창고시설,76924,1,127.355971,37.661
14999,기타창고시설,70703,1,127.3603804,37.663
14999,기타창고시설,60923,1,127.3647588,37.662
14999,기타창고시설,70308,1,127.3670174,37.662
14999,기타창고시설,70438,1,127.3751957,37.665
14999,기타창고시설,73810,1,127.1565426,37.679
14999,기타창고시설,73233,1,127.1583616,37.683
14999,기타창고시설,10275,1,127.1609657,37.686
14999,기타창고시설,63148,1,127.1609297,37.689
14999,기타창고시설,70239,1,127.1598058,37.699
14999,기타창고시설,78576,1,127.1626025,37.699
14999,기타창고시설,62265,1,127.1869394,37.718
14999,기타창고시설,62266,1,127.18729,37.719
14999,기타창고시설,70329,1,127.1914756,37.733
14999,기타창고시설,62856,1,127.2082582,37.748
14999,기타창고시설,10394,1,127.2122904,37.751
14999,기타창고시설,62289,1,127.2176858,37.754
14999,기타창고시설,51819,1,127.1754669,37.613
14999,기타창고시설,51816,1,127.1757183,37.613
14999,기타창고시설,75477,1,127.1796434,37.614
14999,기타창고시설,68929,1,127.1807455,37.614
14999,기타창고시설,76771,1,127.1809099,37.614
14999,기타창고시설,79338,1,127.1832187,37.614
14999,기타창고시설,78988,1,127.1812,37.613
14999,기타창고시설,69671,1,127.1823124,37.612
14999,기타창고시설,68356,1,127.1840238,37.61
14999,기타창고시설,67558,1,127.18494,37.608
