건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
3100,공공시설,79945,0,127.137188,37.676
3100,공공시설,79946,0,127.1371864,37.675
3100,공공시설,79947,0,127.137386,37.674
3100,공공시설,79948,0,127.1370345,37.674
3100,공공시설,79485,0,127.313586,37.56
3100,공공시설,79785,0,127.133444,37.682
3100,공공시설,79805,0,127.1335602,37.682
3100,공공시설,12402,0,127.1677117,37.705
3100,공공시설,64420,0,127.2070865,37.65
3100,공공시설,64422,0,127.211918,37.648
3100,공공시설,64423,0,127.2132028,37.648
3100,공공시설,64421,0,127.2117754,37.649
3100,공공시설,64424,0,127.2133485,37.649
3100,공공시설,64425,0,127.2133987,37.649
3100,공공시설,64426,0,127.2137924,37.648
3100,공공시설,64427,0,127.2138384,37.649
3100,공공시설,64428,0,127.2191668,37.649
3100,공공시설,64429,0,127.2193833,37.649
3100,공공시설,64430,0,127.2213484,37.648
3100,공공시설,64431,0,127.2230751,37.649
3100,공공시설,64432,0,127.2250998,37.65
3100,공공시설,64435,0,127.2078885,37.649
1001,단독주택,6930,0,127.1015875,37.681
1001,단독주택,6929,0,127.1017897,37.681
1001,단독주택,17761,0,127.1083523,37.683
1001,단독주택,17760,0,127.1081519,37.683
1001,단독주택,6927,0,127.109229,37.682
1001,단독주택,6928,0,127.1090099,37.682
1001,단독주택,11375,0,127.1512239,37.605
1001,단독주택,11364,0,127.1537897,37.605
1001,단독주택,49750,0,127.1544691,37.606
1001,단독주택,49754,0,127.154358,37.606
1001,단독주택,49753,0,127.1541851,37.606
1001,단독주택,49751,0,127.154277,37.606
1001,단독주택,49752,0,127.1542101,37.606
1001,단독주택,49748,0,127.1551117,37.606
1001,단독주택,11366,0,127.15649,37.605
1001,단독주택,11370,0,127.1572596,37.605
1001,단독주택,11369,0,127.1571971,37.605
1001,단독주택,11358,0,127.1566308,37.606
1001,단독주택,11359,0,127.1565016,37.606
1001,단독주택,11352,0,127.1573188,37.606
1001,단독주택,11313,0,127.1576346,37.607
1001,단독주택,11175,0,127.1592535,37.607
1001,단독주택,11176,0,127.1593614,37.607
1001,단독주택,34768,0,127.1596877,37.607
1001,단독주택,34765,0,127.1598719,37.607
1001,단독주택,34769,0,127.1600002,37.607
1001,단독주택,34766,0,127.1599489,37.607
1001,단독주택,34767,0,127.1597485,37.607
1001,단독주택,34754,0,127.1599479,37.607
1001,단독주택,34756,0,127.1599006,37.607
1001,단독주택,34757,0,127.1598624,37.607
1001,단독주택,34758,0,127.159984,37.607
1001,단독주택,34755,0,127.1600104,37.606
1001,단독주택,34748,0,127.1594962,37.606
1001,단독주택,34747,0,127.1594432,37.606
1001,단독주택,34749,0,127.1594055,37.606
1001,단독주택,34761,0,127.160027,37.606
1001,단독주택,34759,0,127.159863,37.606
1001,단독주택,34760,0,127.1598741,37.606
1001,단독주택,34764,0,127.1598086,37.606
1001,단독주택,34762,0,127.1596794,37.607
1001,단독주택,34763,0,127.1597003,37.606
1001,단독주택,34743,0,127.159658,37.606
1001,단독주택,34745,0,127.1597289,37.606
1001,단독주택,11319,0,127.1594392,37.607
1001,단독주택,11318,0,127.1595941,37.607
1001,단독주택,11317,0,127.159688,37.607
1001,단독주택,36716,0,127.1610885,37.607
1001,단독주택,36717,0,127.1613683,37.607
1001,단독주택,36715,0,127.1617008,37.607
1001,단독주택,11345,0,127.160343,37.607
1001,단독주택,11341,0,127.1606962,37.607
1001,단독주택,11342,0,127.160786,37.607
1001,단독주택,11340,0,127.1608502,37.607
1001,단독주택,11206,0,127.1624495,37.608
1001,단독주택,11209,0,127.1626186,37.608
1001,단독주택,57419,0,127.1638967,37.607
1001,단독주택,11217,0,127.1629552,37.609
1001,단독주택,11211,0,127.1631307,37.609
1001,단독주택,11210,0,127.1631471,37.608
1001,단독주택,11212,0,127.1632726,37.609
1001,단독주택,11214,0,127.1635958,37.609
1001,단독주택,11215,0,127.1637724,37.609
1001,단독주택,57418,0,127.1640185,37.609
1001,단독주택,57416,0,127.1639428,37.609
1001,단독주택,57415,0,127.1638201,37.609
1001,단독주택,57414,0,127.1637054,37.609
1001,단독주택,57413,0,127.1635068,37.609
1001,단독주택,57412,0,127.1634119,37.609
1001,단독주택,57411,0,127.1633067,37.609
1001,단독주택,11226,0,127.1640425,37.609
1001,단독주택,11205,0,127.1641289,37.609
1001,단독주택,57410,0,127.1644127,37.609
1001,단독주택,11303,0,127.1646402,37.61
1001,단독주택,57393,0,127.1650987,37.609
1001,단독주택,11239,0,127.1653415,37.61
1001,단독주택,11174,0,127.1768646,37.615
1001,단독주택,39762,0,127.1734239,37.617
1001,단독주택,39758,0,127.1733171,37.617
1001,단독주택,39761,0,127.1735598,37.617
1001,단독주택,39765,0,127.1736078,37.617
1001,단독주택,39766,0,127.1734257,37.617
1001,단독주택,39763,0,127.1732885,37.617
1001,단독주택,39754,0,127.1726813,37.617
1001,단독주택,39755,0,127.1723472,37.617
1001,단독주택,39779,0,127.1726461,37.617
1001,단독주택,39753,0,127.1730167,37.617
1001,단독주택,39752,0,127.1723436,37.617
1001,단독주택,39780,0,127.1725025,37.617
1001,단독주택,39756,0,127.1724242,37.617
1001,단독주택,39771,0,127.1728972,37.617
1001,단독주택,39777,0,127.1728054,37.617
1001,단독주택,39769,0,127.1726958,37.617
1001,단독주택,39772,0,127.172813,37.617
1001,단독주택,39773,0,127.1728096,37.617
1001,단독주택,39770,0,127.1730772,37.617
1001,단독주택,39775,0,127.1728235,37.617
1001,단독주택,39776,0,127.1728924,37.617
1001,단독주택,39778,0,127.172705,37.617
1001,단독주택,39774,0,127.1726376,37.617
1001,단독주택,39757,0,127.1718822,37.617
1001,단독주택,11161,0,127.1789521,37.616
1001,단독주택,11159,0,127.1790415,37.616
1001,단독주택,11160,0,127.1790686,37.616
1001,단독주택,11166,0,127.1788898,37.616
1001,단독주택,11162,0,127.1788911,37.616
1001,단독주택,11163,0,127.1787448,37.616
1001,단독주택,11168,0,127.1786825,37.616
1001,단독주택,11164,0,127.1787655,37.616
1001,단독주택,11167,0,127.1787687,37.616
1001,단독주택,11165,0,127.1787244,37.616
1001,단독주택,18892,0,127.1794904,37.615
1001,단독주택,18891,0,127.1795406,37.615
1001,단독주택,11156,0,127.179947,37.617
1001,단독주택,39670,0,127.1792844,37.617
1001,단독주택,39667,0,127.1793622,37.617
1001,단독주택,39668,0,127.1795006,37.617
1001,단독주택,39669,0,127.1795992,37.617
1001,단독주택,39672,0,127.1793455,37.617
1001,단독주택,39671,0,127.1791822,37.617
1001,단독주택,39664,0,127.1791084,37.617
1001,단독주택,39665,0,127.1790358,37.617
1001,단독주택,39666,0,127.1791657,37.617
1001,단독주택,39663,0,127.1792148,37.617
1001,단독주택,39662,0,127.1792743,37.617
1001,단독주택,39660,0,127.1791353,37.617
1001,단독주택,39661,0,127.1790525,37.617
1001,단독주택,39658,0,127.1791655,37.617
1001,단독주택,39659,0,127.1792271,37.617
1001,단독주택,39656,0,127.1789899,37.617
1001,단독주택,39657,0,127.178875,37.617
1001,단독주택,39654,0,127.178873,37.617
1001,단독주택,39655,0,127.1789203,37.617
1001,단독주택,18890,0,127.1804837,37.616
1001,단독주택,60349,0,127.1802306,37.616
1001,단독주택,11123,0,127.1811397,37.618
1001,단독주택,11124,0,127.1810777,37.618
1001,단독주택,11138,0,127.1810322,37.617
1001,단독주택,11127,0,127.1810961,37.618
1001,단독주택,11128,0,127.1811334,37.618
1001,단독주택,11129,0,127.1810409,37.618
1001,단독주택,11125,0,127.181249,37.618
1001,단독주택,11151,0,127.181908,37.618
1001,단독주택,11150,0,127.1819275,37.618
1001,단독주택,11152,0,127.1817262,37.618
1001,단독주택,11154,0,127.181845,37.618
1001,단독주택,11153,0,127.181903,37.618
1001,단독주택,11116,0,127.181626,37.618
1001,단독주택,11112,0,127.18125,37.618
1001,단독주택,11113,0,127.1815638,37.618
